funding_rounds,time_to_first_funding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,status,region,city,total_investment,Industry_Group,Founded_year
3.0,2880.0,1000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,2,75,188,3000000.0,38,2003
2.0,240.0,2000000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,2,605,2083,7000000.0,28,2012
1.0,953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,904,3194,6785876.0,38,2008
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,0.0,38,2008
2.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,126,395,383000.0,38,2010
1.0,1606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,52,145,165000000.0,28,2009
1.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2795,250000.0,38,2011
1.0,817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,229,2475,275000.0,38,2008
1.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,700,2394,33457.0,31,2010
2.0,216.0,860102.0,0.0,0.0,0.0,0.0,0.0,0.0,2,131,226,966728.0,24,2011
1.0,2607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,172,532,85000000.0,38,1998
4.0,694.0,0.0,0.0,33000000.0,0.0,0.0,0.0,0.0,2,807,2866,37644420.0,0,2010
1.0,3329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2822,20000.0,31,2004
1.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,931,3461,58000.0,8,2011
1.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,778,921,6000.0,1,2013
1.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,0.0,24,2007
1.0,908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,0.0,22,2011
2.0,1289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,868,3099,300000.0,26,2004
6.0,443.0,10000000.0,20000000.0,32500000.0,31100000.0,0.0,0.0,0.0,2,72,1276,95875000.0,38,2008
1.0,-211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,936,3281,80000.0,30,2012
1.0,5111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,1445,0.0,31,1984
1.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,495,1677,0.0,31,2012
4.0,908.0,0.0,30000000.0,20000000.0,0.0,0.0,0.0,0.0,2,770,1958,78089000.0,5,2007
1.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,646,644,25000.0,11,2013
1.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,238,807,0.0,41,2013
1.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,190,605,500000.0,17,2013
1.0,779.0,0.0,2274716.0,0.0,0.0,0.0,0.0,0.0,2,519,1784,2274716.0,18,2012
1.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,711,2445,0.0,11,2010
5.0,756.0,1284560.0,9000000.0,13100000.0,0.0,0.0,0.0,0.0,2,645,2187,25654560.0,1,2007
1.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,726,2528,0.0,30,2007
1.0,5979.0,0.0,17800000.0,0.0,0.0,0.0,0.0,0.0,2,717,2465,17800000.0,9,1998
1.0,3390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,815,2889,5000000.0,5,2000
2.0,2459.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50,135,1000000.0,5,2005
1.0,1815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,904,3444,7650000.0,38,2008
1.0,1348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,700,2394,1543920.0,14,2010
2.0,1908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,682,2352,4100000.0,38,2007
1.0,4365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,308,1068,0.0,17,2000
1.0,969.0,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0,2,770,936,16000000.0,34,2012
1.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,868,3099,0.0,26,2013
1.0,1840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,242,3219,0.0,38,2009
2.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,262,3569,73047.0,6,2011
1.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,2203975.0,28,2006
2.0,1827.0,1200000.0,5500000.0,0.0,0.0,0.0,0.0,0.0,2,890,3138,6700000.0,39,2008
2.0,4409.0,1573976.0,0.0,0.0,0.0,0.0,0.0,0.0,2,83,223,1573976.0,8,1999
1.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,3083,25000.0,38,2014
1.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,145,3569,1629549.0,28,2013
1.0,731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,114,2573,1600000.0,28,2010
2.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,331,1118,1719583.0,42,2011
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,219,748,75000.0,38,2013
1.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,109,331,133620.0,5,2008
2.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,114,3415,500000.0,22,2010
2.0,2893.0,0.0,4200000.0,0.0,0.0,0.0,0.0,0.0,2,955,2671,5740000.0,34,2005
1.0,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,242,93,1465000.0,5,2010
1.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2784,28000.0,38,2013
1.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,114,2573,250000.0,31,2013
2.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,676,1791,503000.0,19,2011
2.0,235.0,4500000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,37,79,4500000.0,11,2013
2.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,195,623,1200000.0,21,2011
1.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,7500.0,31,2014
2.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,240000.0,38,2013
3.0,1384.0,5000000.0,30000000.0,0.0,0.0,0.0,0.0,0.0,2,790,2783,35000000.0,9,2009
3.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,588,2012,909940.0,38,2010
3.0,10094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,768,2662,169500000.0,38,1986
1.0,1411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,242,93,150000.0,38,2009
1.0,1002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,948,2546,750000.0,31,2012
1.0,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2612,400000.0,7,2009
1.0,4680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,315,1680,1250000.0,7,1997
1.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,373,2172,0.0,22,2012
1.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,190,605,0.0,41,2013
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,738,1979,2670000.0,38,2011
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,30000.0,31,2014
1.0,3358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,732064.0,26,2001
2.0,689.0,1240000.0,825000.0,0.0,0.0,0.0,0.0,0.0,2,74,186,2065000.0,28,2006
1.0,1664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,645,2187,750000.0,22,2009
1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,715,1444,0.0,12,2013
2.0,720.0,1700000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,134,427,1700000.0,28,2009
1.0,1173.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,807,2866,20000000.0,26,2003
2.0,418.0,746185.0,0.0,0.0,0.0,0.0,0.0,0.0,2,83,223,746185.0,28,2005
3.0,587.0,0.0,6500000.0,0.0,0.0,0.0,0.0,0.0,1,351,1224,13708150.0,1,2006
1.0,898.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2784,4000000.0,23,2005
1.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,291,1013,0.0,38,2007
3.0,361.0,10000000.0,20000000.0,35000000.0,0.0,0.0,0.0,0.0,0,770,2820,65000000.0,24,2004
1.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,998,3569,1500000.0,38,2010
1.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,998,3569,0.0,8,2014
4.0,1468.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,955,987,25920000.0,38,2006
3.0,1118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,114,468,1011601.0,38,2007
1.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,0.0,31,2008
2.0,399.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,145,3569,1500000.0,24,2010
1.0,1393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,651,2086,1394250.0,28,2005
2.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,78,192,5000000.0,38,2007
3.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2784,390000.0,5,2011
1.0,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,55,149,2000000.0,38,2008
1.0,657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2784,0.0,0,2012
1.0,2580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,653,3569,15152514.0,23,2007
1.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2820,1000000.0,38,2013
3.0,3124.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0,807,2866,15000000.0,23,1999
1.0,1558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,405,134,272000.0,38,2003
1.0,3299.0,25500000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,253,852,25500000.0,7,2004
6.0,1456.0,5000000.0,10000000.0,9000000.0,12000000.0,17000000.0,0.0,0.0,2,770,2784,56567194.0,33,2002
2.0,409.0,1700000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,208,679,3393925.0,21,2007
1.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,63,2590,1000.0,8,2013
5.0,898.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,948,3040,2234979.0,7,2009
2.0,898.0,5733600.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,6246800.0,38,1997
1.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,790,2783,81000.0,38,2014
3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50,135,1050000.0,8,2008
1.0,548.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,72,182,750000.0,23,2010
4.0,846.0,0.0,11200000.0,10070000.0,13000000.0,0.0,0.0,0.0,0,770,2787,38064570.0,33,2004
2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,2784,800000.0,38,2013
1.0,2323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50,3224,1000000.0,38,2004
4.0,240.0,5000000.0,12000000.0,0.0,0.0,0.0,0.0,0.0,2,770,2784,17400000.0,35,2011
2.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,997,3568,0.0,1,2011
1.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,807,2866,0.0,38,2004
3.0,403.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,114,3362,37956999.0,5,2011
1.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,50,841,0.0,13,2014
1.0,8503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,520,2947,450000.0,19,1991
1.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,770,2787,0.0,38,2006
1.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,645,2187,0.0,12,2011
1.0,3155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,613,689,20900.0,23,2005
1.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,955,1330,3378975.0,28,2005
6.0,209.0,2850000.0,1000000.0,500000.0,0.0,0.0,0.0,0.0,0,770,3083,9416354.0,38,2006
8.0,419.0,0.0,0.0,8000000.0,24000000.0,8000000.0,0.0,0.0,2,770,2794,70288000.0,1,2004
1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,1000000.0,7,2012
4.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,717,2465,60000000.0,38,2005
1.0,390.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,10000000.0,28,2011
1.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,770,3026,50000.0,8,2012
1.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,114,3343,7000000.0,5,2011
4.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,861,3081,1121081.0,1,2010
1.0,1753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,609,2106,0.0,13,2007
1.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,800,3106,762500.0,8,2013
1.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,90,259,385980.0,24,2012
1.0,2352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,739,2081,250000.0,38,2004
2.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,645,2187,440000.0,38,2012
2.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,80000.0,34,2013
1.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,315,1047,180000.0,9,2013
1.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,729,1494,0.0,39,2011
1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,700,2394,0.0,17,2012
6.0,-17.0,4500000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0,770,2784,12900000.0,7,2010
1.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,998,3569,100000.0,31,2014
2.0,870.0,8800000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,904,3194,9325000.0,11,2009
1.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,83,223,0.0,31,2007
3.0,478.0,6000000.0,15000000.0,0.0,0.0,0.0,0.0,0.0,2,815,2889,27000000.0,38,2005
1.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,145,3569,2928257.0,35,2009
3.0,779.0,0.0,6300000.0,0.0,0.0,0.0,0.0,0.0,2,145,1489,9300000.0,7,2002
